100,1,598,212,65,186,-1,-1,1
100,2,586,122,162,108,-1,-1,1
100,3,369,203,124,161,-1,-1,1
50,1,381,550,121,128,-1,-1,1
50,2,989,203,71,151,-1,-1,1
50,3,247,392,185,37,-1,-1,1
51,1,394,547,108,137,-1,-1,1
51,2,1009,189,50,168,-1,-1,1
51,3,247,392,186,37,-1,-1,1
52,1,399,529,119,154,-1,-1,1
52,2,1002,175,58,174,-1,-1,1
52,3,246,393,186,37,-1,-1,1
53,1,402,522,122,151,-1,-1,1
53,2,996,160,66,176,-1,-1,1
53,3,245,393,186,37,-1,-1,1
54,1,409,514,124,153,-1,-1,1
54,2,985,153,82,172,-1,-1,1
54,3,245,393,187,37,-1,-1,1
55,1,418,506,121,148,-1,-1,1
55,2,979,144,88,172,-1,-1,1
55,3,245,393,185,37,-1,-1,1
56,1,423,499,120,148,-1,-1,1
56,2,975,138,91,166,-1,-1,1
56,3,245,393,187,37,-1,-1,1
57,1,427,491,122,154,-1,-1,1
57,2,974,135,91,165,-1,-1,1
57,3,244,392,188,38,-1,-1,1
58,1,430,488,128,146,-1,-1,1
58,2,973,126,91,173,-1,-1,1
58,3,244,392,188,38,-1,-1,1
59,1,432,475,131,156,-1,-1,1
59,2,970,124,92,171,-1,-1,1
59,3,243,391,191,39,-1,-1,1
60,1,438,470,130,150,-1,-1,1
60,2,966,124,91,168,-1,-1,1
60,3,242,391,191,39,-1,-1,1
61,1,451,479,115,131,-1,-1,1
61,2,947,130,102,150,-1,-1,1
61,3,243,391,190,39,-1,-1,1
62,1,447,463,133,143,-1,-1,1
62,2,928,135,126,125,-1,-1,1
62,3,242,390,191,39,-1,-1,1
63,1,450,455,134,147,-1,-1,1
63,2,921,134,137,108,-1,-1,1
63,3,249,390,178,39,-1,-1,1
64,1,459,454,125,140,-1,-1,1
64,2,920,135,136,91,-1,-1,1
64,3,246,387,186,42,-1,-1,1
65,1,461,443,130,146,-1,-1,1
65,2,911,128,146,88,-1,-1,1
65,3,246,381,188,53,-1,-1,1
66,1,465,438,129,146,-1,-1,1
66,2,905,127,149,82,-1,-1,1
66,3,251,377,185,63,-1,-1,1
67,1,470,430,133,150,-1,-1,1
67,2,899,124,154,81,-1,-1,1
67,3,252,372,185,72,-1,-1,1
68,1,474,427,133,148,-1,-1,1
68,2,894,121,156,78,-1,-1,1
68,3,252,368,184,78,-1,-1,1
69,1,474,418,132,142,-1,-1,1
69,2,887,119,161,78,-1,-1,1
69,3,255,367,182,81,-1,-1,1
70,1,482,403,117,147,-1,-1,1
70,2,882,117,163,77,-1,-1,1
70,3,258,365,179,83,-1,-1,1
71,1,512,389,95,167,-1,-1,1
71,2,877,116,167,74,-1,-1,1
71,3,259,363,181,86,-1,-1,1
72,1,531,374,87,178,-1,-1,1
72,2,866,120,165,80,-1,-1,1
72,3,260,363,182,87,-1,-1,1
73,1,534,364,91,171,-1,-1,1
73,2,863,126,155,61,-1,-1,1
73,3,261,362,181,90,-1,-1,1
74,1,537,352,94,168,-1,-1,1
74,2,854,122,156,80,-1,-1,1
74,3,261,360,180,93,-1,-1,1
75,1,543,338,96,173,-1,-1,1
75,2,833,122,155,91,-1,-1,1
75,3,271,355,170,94,-1,-1,1
76,1,546,325,99,170,-1,-1,1
76,2,814,123,160,98,-1,-1,1
76,3,286,343,148,112,-1,-1,1
77,1,551,316,98,167,-1,-1,1
77,2,797,131,156,96,-1,-1,1
77,3,306,333,108,132,-1,-1,1
78,1,558,300,99,179,-1,-1,1
78,2,783,147,170,84,-1,-1,1
78,3,309,324,82,148,-1,-1,1
79,1,564,292,99,171,-1,-1,1
79,2,768,158,173,80,-1,-1,1
79,3,312,318,71,158,-1,-1,1
80,1,571,285,93,162,-1,-1,1
80,2,752,167,184,75,-1,-1,1
80,3,313,297,77,187,-1,-1,1
81,1,572,271,101,173,-1,-1,1
81,2,738,176,182,69,-1,-1,1
81,3,314,287,91,190,-1,-1,1
82,1,575,263,104,170,-1,-1,1
82,2,727,180,176,62,-1,-1,1
82,3,315,284,98,184,-1,-1,1
83,1,578,253,104,170,-1,-1,1
83,2,722,192,165,50,-1,-1,1
83,3,315,277,105,176,-1,-1,1
84,1,585,245,94,170,-1,-1,1
84,2,711,191,172,53,-1,-1,1
84,3,319,272,110,170,-1,-1,1
85,1,591,239,86,175,-1,-1,1
85,2,697,185,183,58,-1,-1,1
85,3,321,268,112,165,-1,-1,1
86,1,599,237,72,175,-1,-1,1
86,2,686,180,185,65,-1,-1,1
86,3,325,259,115,165,-1,-1,1
87,1,611,222,57,197,-1,-1,1
87,2,675,177,186,67,-1,-1,1
87,3,326,249,121,170,-1,-1,1
88,1,617,221,48,195,-1,-1,1
88,2,657,173,191,69,-1,-1,1
88,3,331,246,120,163,-1,-1,1
89,1,616,218,48,191,-1,-1,1
89,2,650,169,186,70,-1,-1,1
89,3,344,247,104,150,-1,-1,1
90,1,614,217,51,191,-1,-1,1
90,2,642,164,186,75,-1,-1,1
90,3,339,236,119,164,-1,-1,1
91,1,613,215,53,191,-1,-1,1
91,2,631,163,185,73,-1,-1,1
91,3,341,231,123,165,-1,-1,1
92,1,608,221,58,189,-1,-1,1
92,2,623,162,179,69,-1,-1,1
92,3,345,219,124,173,-1,-1,1
93,1,607,216,60,189,-1,-1,1
93,2,613,158,186,77,-1,-1,1
93,3,352,216,124,173,-1,-1,1
94,1,606,218,62,189,-1,-1,1
94,2,608,154,182,79,-1,-1,1
94,3,354,215,124,169,-1,-1,1
95,1,604,218,62,189,-1,-1,1
95,2,603,148,179,80,-1,-1,1
95,3,362,207,125,170,-1,-1,1
96,1,603,217,64,187,-1,-1,1
96,2,601,145,175,85,-1,-1,1
96,3,365,209,115,161,-1,-1,1
97,1,601,217,64,186,-1,-1,1
97,2,596,141,175,88,-1,-1,1
97,3,367,210,115,159,-1,-1,1
98,1,601,215,63,186,-1,-1,1
98,2,589,135,177,96,-1,-1,1
98,3,374,215,109,153,-1,-1,1
99,1,601,215,63,186,-1,-1,1
99,2,586,133,173,99,-1,-1,1
99,3,368,202,123,165,-1,-1,1
