2,1,421,799,163,83,-1,-1,-1-1
2,2,264,821,173,52,-1,-1,-1-1
2,3,586,801,178,53,-1,-1,-1-1
2,4,625,726,197,73,-1,-1,-1-1
2,5,173,801,147,45,-1,-1,-1-1
3,1,412,801,167,77,-1,-1,-1-1
3,2,260,822,165,47,-1,-1,-1-1
3,3,584,800,179,53,-1,-1,-1-1
3,4,625,723,195,73,-1,-1,-1-1
3,5,168,800,152,45,-1,-1,-1-1
4,1,409,808,170,74,-1,-1,-1-1
4,2,257,821,166,47,-1,-1,-1-1
4,3,576,800,184,54,-1,-1,-1-1
4,4,625,727,196,73,-1,-1,-1-1
4,5,162,792,143,48,-1,-1,-1-1
5,1,405,810,169,73,-1,-1,-1-1
5,2,245,820,170,45,-1,-1,-1-1
5,3,574,799,184,54,-1,-1,-1-1
5,4,626,726,193,75,-1,-1,-1-1
5,5,160,791,145,47,-1,-1,-1-1
6,1,400,813,173,69,-1,-1,-1-1
6,2,240,821,171,45,-1,-1,-1-1
6,3,572,799,186,54,-1,-1,-1-1
6,4,625,728,194,73,-1,-1,-1-1
6,5,155,793,143,44,-1,-1,-1-1
7,1,397,813,174,69,-1,-1,-1-1
7,2,234,821,173,46,-1,-1,-1-1
7,3,570,799,187,53,-1,-1,-1-1
7,4,626,728,193,73,-1,-1,-1-1
7,5,149,793,143,43,-1,-1,-1-1
8,1,397,815,168,65,-1,-1,-1-1
8,2,228,819,176,46,-1,-1,-1-1
8,3,569,800,185,50,-1,-1,-1-1
8,4,627,728,190,74,-1,-1,-1-1
8,5,144,793,143,42,-1,-1,-1-1
9,1,390,816,171,64,-1,-1,-1-1
9,2,221,818,175,44,-1,-1,-1-1
9,3,568,800,182,50,-1,-1,-1-1
9,4,628,728,188,74,-1,-1,-1-1
9,5,138,792,142,41,-1,-1,-1-1
10,1,390,815,171,65,-1,-1,-1-1
10,2,216,815,171,46,-1,-1,-1-1
10,3,566,797,178,54,-1,-1,-1-1
10,4,628,729,187,74,-1,-1,-1-1
10,5,134,791,141,40,-1,-1,-1-1
11,1,391,814,168,68,-1,-1,-1-1
11,2,211,816,171,46,-1,-1,-1-1
11,3,560,793,179,57,-1,-1,-1-1
11,4,627,729,188,74,-1,-1,-1-1
11,5,128,791,144,41,-1,-1,-1-1
12,1,392,812,166,72,-1,-1,-1-1
12,2,209,815,166,47,-1,-1,-1-1
12,3,556,790,175,62,-1,-1,-1-1
12,4,626,731,189,71,-1,-1,-1-1
12,5,126,790,143,43,-1,-1,-1-1
13,1,392,812,167,69,-1,-1,-1-1
13,2,199,812,168,46,-1,-1,-1-1
13,3,551,794,174,58,-1,-1,-1-1
13,4,623,732,195,72,-1,-1,-1-1
13,5,124,788,143,44,-1,-1,-1-1
14,1,392,812,167,70,-1,-1,-1-1
14,2,195,812,166,45,-1,-1,-1-1
14,3,545,798,174,55,-1,-1,-1-1
14,4,620,734,192,73,-1,-1,-1-1
14,5,116,789,140,41,-1,-1,-1-1
15,1,391,812,169,69,-1,-1,-1-1
15,2,192,811,165,44,-1,-1,-1-1
15,3,539,800,173,55,-1,-1,-1-1
15,4,618,735,194,66,-1,-1,-1-1
15,5,112,786,141,42,-1,-1,-1-1
16,1,391,811,168,70,-1,-1,-1-1
16,2,190,810,163,45,-1,-1,-1-1
16,3,524,797,182,58,-1,-1,-1-1
16,4,616,734,194,59,-1,-1,-1-1
16,5,107,784,141,42,-1,-1,-1-1
17,1,383,803,166,71,-1,-1,-1-1
17,2,185,807,156,46,-1,-1,-1-1
17,3,519,796,182,57,-1,-1,-1-1
17,4,609,734,200,58,-1,-1,-1-1
17,5,104,780,138,45,-1,-1,-1-1
18,1,370,824,173,46,-1,-1,-1-1
18,2,180,804,153,47,-1,-1,-1-1
18,3,511,799,184,51,-1,-1,-1-1
18,4,604,734,200,58,-1,-1,-1-1
18,5,101,774,138,50,-1,-1,-1-1
19,1,355,825,178,44,-1,-1,-1-1
19,2,177,802,152,47,-1,-1,-1-1
19,3,505,803,184,45,-1,-1,-1-1
19,4,599,732,199,62,-1,-1,-1-1
19,5,95,771,140,52,-1,-1,-1-1
20,1,337,824,176,42,-1,-1,-1-1
20,2,172,800,153,50,-1,-1,-1-1
20,3,500,804,183,43,-1,-1,-1-1
20,4,592,730,201,66,-1,-1,-1-1
20,5,93,764,140,60,-1,-1,-1-1
21,1,324,824,177,43,-1,-1,-1-1
21,2,167,797,154,55,-1,-1,-1-1
21,3,492,802,184,44,-1,-1,-1-1
21,4,588,728,201,69,-1,-1,-1-1
21,5,90,757,139,67,-1,-1,-1-1
22,1,316,823,170,44,-1,-1,-1-1
22,2,158,798,153,47,-1,-1,-1-1
22,3,489,799,179,47,-1,-1,-1-1
22,4,588,726,196,72,-1,-1,-1-1
22,5,85,750,144,72,-1,-1,-1-1
23,1,305,825,169,41,-1,-1,-1-1
23,2,152,800,149,45,-1,-1,-1-1
23,3,478,797,184,47,-1,-1,-1-1
23,4,582,727,197,70,-1,-1,-1-1
23,5,82,747,143,66,-1,-1,-1-1
24,1,292,822,166,44,-1,-1,-1-1
24,2,144,802,147,42,-1,-1,-1-1
24,3,469,797,183,46,-1,-1,-1-1
24,4,577,726,199,69,-1,-1,-1-1
24,5,81,749,144,59,-1,-1,-1-1
25,1,279,821,162,45,-1,-1,-1-1
